"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.1434955865299,22.490543,2.4803894,1027.1947,-0.012516729,"20",0.081656545,0.019070381,22.490543
-1.10172936883749,24.728399,2.4926622,1027.2058,-0.012035778,"20",0.081656545,0.017401986,22.490543
-1.06635885782913,26.929049,2.5020978,1027.2168,-0.013530736,"20",0.081656545,0.016906694,22.490543
-1.03825558366681,29.099363,2.4877238,1027.2277,-0.012308338,"20",0.081656545,0.014369899,22.490543
-1.01744378897384,31.211206,2.4770119,1027.2383,-0.012462473,"20",0.081656545,0.014880491,22.490543
-1.00345274099766,33.299839,2.4854274,1027.2488,-0.012967804,"20",0.081656545,0.017504606,22.490543
-0.99540146734504,35.402809,2.4892819,1027.2595,-0.012027358,"20",0.081656545,0.017624767,22.490543
-0.991799666274284,37.477013,2.4715595,1027.2699,-0.012213756,"20",0.081656545,0.01343364,22.490543
-0.99032161674394,39.534313,2.4755216,1027.2803,-0.011939897,"20",0.081656545,0.015186384,22.490543
-0.987925366947414,41.616261,2.479857,1027.2908,-0.011705682,"20",0.081656545,0.014604733,22.490543
-0.981513149448635,43.677505,2.5050521,1027.3011,-0.01375289,"20",0.081656545,0.017536594,22.490543
-0.968933776131348,45.780727,2.5477166,1027.3116,-0.014023092,"20",0.081656545,0.026340662,22.490543
-0.94982172269031,47.880394,2.6037848,1027.3221,-0.010416263,"20",0.081656545,0.014696083,22.490543
