"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.28412714907213,23.335201,2.2429395,1027.1989,-0.006282333,"25",0.081656545,0.013310476,23.335201
-1.23703233645363,25.462933,2.2434599,1027.2095,-0.01140106,"25",0.081656545,0.015478833,23.335201
-1.19927856089838,27.568005,2.2436984,1027.22,-0.012550849,"25",0.081656545,0.018153172,23.335201
-1.17195026528382,29.636671,2.2390594,1027.2303,-0.012508424,"25",0.081656545,0.016289173,23.335201
-1.1542544941709,31.688213,2.2449358,1027.2407,-0.012106764,"25",0.081656545,0.015043007,23.335201
-1.14337241864459,33.745598,2.2306139,1027.2511,-0.012048972,"25",0.081656545,0.015393355,23.335201
-1.1344990425544,35.739517,2.1977255,1027.2611,-0.013894617,"25",0.081656545,0.022102863,23.335201
-1.12125127794677,37.725166,2.1813481,1027.2712,-0.011691988,"25",0.081656545,0.016413286,23.335201
-1.09684700224125,39.658497,2.16536,1027.281,-0.012613931,"25",0.081656545,0.013940639,23.335201
-1.05630010647086,41.573631,2.1898081,1027.2906,-0.012202553,"25",0.081656545,0.014266007,23.335201
-0.999215570266008,43.466492,2.2386093,1027.3,-0.011067779,"25",0.081656545,0.02091977,23.335201
-0.931621080184662,45.329597,2.3432946,1027.3094,-0.011788147,"25",0.081656545,0.013542293,23.335201
-0.864771479174775,47.227303,2.48787,1027.3188,-0.013624492,"25",0.081656545,0.017608522,23.335201
-0.810711371670823,49.115906,2.6334345,1027.3282,-0.011864193,"25",0.081656545,0.017283056,23.335201
