"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.40954085425367,14.919477,2.0981474,1027.1542,-0.00500408,"15",0.081656545,0.015963839,14.919477
-1.34198338260576,17.036022,2.1565976,1027.1667,-0.010578482,"15",0.081656545,0.017563691,14.919477
-1.27250817808234,19.124519,2.1981742,1027.1779,-0.012142749,"15",0.081656545,0.013405995,14.919477
-1.19932903582034,21.239199,2.2328649,1027.1886,-0.011768416,"15",0.081656545,0.017373884,14.919477
-1.12094540899536,23.285576,2.2558563,1027.1987,-0.011519366,"15",0.081656545,0.020794444,14.919477
-1.04094531057706,25.286812,2.2734954,1027.2085,-0.012066458,"15",0.081656545,0.015604976,14.919477
-0.966973684114896,27.197567,2.2928689,1027.2181,-0.012422367,"15",0.081656545,0.015590731,14.919477
-0.906211459923408,29.038799,2.3683918,1027.2273,-0.012386139,"15",0.081656545,0.015343704,14.919477
-0.861762636264092,30.918079,2.4756947,1027.2368,-0.012284496,"15",0.081656545,0.018083466,14.919477
-0.832204281104384,32.805763,2.5343306,1027.2463,-0.013736174,"15",0.081656545,0.01559656,14.919477
-0.813539922069775,34.66201,2.5871012,1027.2557,-0.008504073,"15",0.081656545,0.025713306,14.919477
-0.801672939793275,36.567089,2.643012,1027.2654,-0.011387158,"15",0.081656545,0.014453634,14.919477
-0.793952440940493,38.462929,2.6673131,1027.2749,-0.011511481,"15",0.081656545,0.018304693,14.919477
-0.789299829486989,40.375286,2.6743755,1027.2845,-0.011227641,"15",0.081656545,0.017758651,14.919477
-0.787336683144346,42.25975,2.6427388,1027.2941,-0.012208754,"15",0.081656545,0.018533183,14.919477
-0.787421104720265,44.113033,2.6057372,1027.3033,-0.01200017,"15",0.081656545,0.0241595,14.919477
-0.788332899628092,45.944042,2.6043301,1027.3125,-0.012170791,"15",0.081656545,0.01769634,14.919477
-0.788693292665336,47.811516,2.6086311,1027.3218,-0.011493533,"15",0.081656545,0.016359275,14.919477
-0.787606249247316,49.640724,2.6067536,1027.3309,-0.011161834,"15",0.081656545,0.019734982,14.919477
