"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.22435541668445,10.373637,1.8283012,1027.1075,-0.013413977,"80",0.081656545,0.018534511,10.373637
-1.17630774156081,12.059844,1.8355192,1027.1293,-0.009909189,"80",0.081656545,0.014099113,10.373637
-1.12744991950498,13.754651,1.8961667,1027.1444,-0.01086895,"80",0.081656545,0.013779313,10.373637
-1.08148501559092,15.491226,1.9437741,1027.1582,-0.011211899,"80",0.081656545,0.020311823,10.373637
-1.04121323607053,17.186111,1.9776253,1027.1675,-0.012256277,"80",0.081656545,0.014813059,10.373637
-1.00762995966951,18.900936,2.037864,1027.1766,-0.012351963,"80",0.081656545,0.014848551,10.373637
-0.98023781991091,20.634956,2.0918915,1027.1857,-0.012672197,"80",0.081656545,0.020364186,10.373637
-0.958092768202341,22.382168,2.1258087,1027.1942,-0.013154296,"80",0.081656545,0.018628484,10.373637
-0.940691277054597,24.112986,2.1432414,1027.2028,-0.013609894,"80",0.081656545,0.015850332,10.373637
-0.928112305163038,25.842266,2.1518397,1027.2113,-0.011637595,"80",0.081656545,0.016319975,10.373637
-0.920452055076035,27.55677,2.1555445,1027.2198,-0.011833979,"80",0.081656545,0.015684742,10.373637
-0.917059257183206,29.271658,2.1884868,1027.2285,-0.011848858,"80",0.081656545,0.015693961,10.373637
-0.916126815030328,31.034603,2.1947813,1027.2374,-0.013018697,"80",0.081656545,0.015467755,10.373637
-0.914934179192562,32.756184,2.1883831,1027.2461,-0.011582738,"80",0.081656545,0.017851632,10.373637
-0.910684511903466,34.500515,2.2307396,1027.2549,-0.012058795,"80",0.081656545,0.014738971,10.373637
-0.901556387555658,36.281559,2.2856541,1027.2639,-0.013237501,"80",0.081656545,0.016588744,10.373637
-0.887436586640562,38.102974,2.311974,1027.2731,-0.011977302,"80",0.081656545,0.020118266,10.373637
-0.869923970379343,39.860733,2.3107486,1027.282,-0.011591895,"80",0.081656545,0.01363617,10.373637
-0.851566859106255,41.633598,2.3284683,1027.2909,-0.012055107,"80",0.081656545,0.018351778,10.373637
-0.834691811620789,43.361458,2.2975502,1027.2996,-0.013847291,"80",0.081656545,0.014920598,10.373637
-0.820388838400696,45.025249,2.2685921,1027.3079,-0.010202341,"80",0.081656545,0.019274946,10.373637
-0.808125910730089,46.672024,2.3048065,1027.3162,-0.012769058,"80",0.081656545,0.016930288,10.373637
-0.796149269416686,48.359127,2.3358967,1027.3246,-0.011956589,"80",0.081656545,0.016009783,10.373637
