"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.1753489972961,24.981121,2.3258157,1027.207,-0.007527927,"42",0.081656545,0.014048407,24.981121
-1.1099724541749,27.140005,2.3917782,1027.2178,-0.011987098,"42",0.081656545,0.014703458,24.981121
-1.05290910626716,29.264874,2.4012082,1027.2284,-0.011076318,"42",0.081656545,0.019353492,24.981121
-1.01061538026163,31.30213,2.4133973,1027.2386,-0.012092157,"42",0.081656545,0.018200476,24.981121
-0.984349152403493,33.334732,2.4424858,1027.249,-0.012708005,"42",0.081656545,0.015330962,24.981121
-0.97145792365546,35.380566,2.4417129,1027.2593,-0.012678804,"42",0.081656545,0.015397772,24.981121
-0.967549468235129,37.354511,2.4279292,1027.2693,-0.012262228,"42",0.081656545,0.013590506,24.981121
-0.968277898851741,39.377686,2.4548078,1027.2795,-0.011687294,"42",0.081656545,0.016588517,24.981121
-0.970514625554635,41.404613,2.4529138,1027.2898,-0.01099106,"42",0.081656545,0.012844753,24.981121
-0.972863140596118,43.428612,2.4493961,1027.2999,-0.01252142,"42",0.081656545,0.028385554,24.981121
-0.975417429956412,45.452518,2.4406593,1027.3101,-0.013149145,"42",0.081656545,0.016049067,24.981121
-0.978851784138731,47.463089,2.4563353,1027.3201,-0.013757961,"42",0.081656545,0.019082028,24.981121
-0.983360440835531,49.538898,2.4829159,1027.3304,-0.010208635,"42",0.081656545,0.018132489,24.981121
