"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.4158710587309,12.816133,2.0057902,1027.136,-0.00328285,"16",0.081656545,0.038264226,12.816133
-1.38392683848371,14.788384,1.9914103,1027.1532,-0.016393587,"16",0.081656545,0.038445707,12.816133
-1.3563868169776,16.726044,1.9362659,1027.1652,-0.009350593,"16",0.081656545,0.018914327,12.816133
-1.3339025605289,18.556509,1.8669174,1027.1748,-0.015485417,"16",0.081656545,0.02376464,12.816133
-1.30940906359202,20.335121,1.8484838,1027.1841,-0.010829278,"16",0.081656545,0.018767644,12.816133
-1.27600902930916,22.119139,1.8947743,1027.1929,-0.011441066,"16",0.081656545,0.013072015,12.816133
-1.23290775691202,23.972073,1.955722,1027.202,-0.012285599,"16",0.081656545,0.015514112,12.816133
-1.1854429170388,25.807814,2.022599,1027.2112,-0.011332915,"16",0.081656545,0.013765731,12.816133
-1.14079367722147,27.731424,2.1280475,1027.2208,-0.012654067,"16",0.081656545,0.014173279,12.816133
-1.10436717220249,29.687504,2.1951199,1027.2306,-0.012073733,"16",0.081656545,0.014464608,12.816133
-1.07849168865729,31.657425,2.2517207,1027.2405,-0.013532368,"16",0.081656545,0.019656658,12.816133
-1.06248396509031,33.663139,2.2779133,1027.2506,-0.012401233,"16",0.081656545,0.014769115,12.816133
-1.05325277905017,35.642467,2.2681348,1027.2607,-0.011807773,"16",0.081656545,0.01925673,12.816133
-1.04617049474497,37.592663,2.2572207,1027.2705,-0.012098036,"16",0.081656545,0.012572509,12.816133
-1.03619124313413,39.553398,2.2807484,1027.2804,-0.012248392,"16",0.081656545,0.01455872,12.816133
-1.01919993926719,41.510849,2.3095815,1027.2903,-0.011977357,"16",0.081656545,0.020215448,12.816133
-0.993402367219805,43.494377,2.3814819,1027.3002,-0.011911745,"16",0.081656545,0.014021112,12.816133
-0.960255388225194,45.505817,2.4840333,1027.3103,-0.0118274,"16",0.081656545,0.018045707,12.816133
-0.924269299589657,47.568989,2.581188,1027.3206,-0.011758094,"16",0.081656545,0.01462269,12.816133
-0.891358952335031,49.637428,2.657737,1027.3309,-0.003400349,"16",0.081656545,0.014570382,12.816133
