"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.18528325431882,10.718203,1.8316841,1027.1158,-0.013954446,"69",0.081656545,0.025145404,10.718203
-1.08602744440875,12.408974,1.9866449,1027.1322,-0.011487199,"69",0.081656545,0.024078365,10.718203
-1.00175696164313,14.243404,2.2400265,1027.1488,-0.008889797,"69",0.081656545,0.018405406,10.718203
-0.942240448751959,16.21718,2.4117544,1027.1624,-0.01279821,"69",0.081656545,0.017185805,10.718203
-0.907929666758826,18.158903,2.4361982,1027.1726,-0.012279568,"69",0.081656545,0.014445901,10.718203
-0.891953498744723,20.053247,2.4135592,1027.1827,-0.005583176,"69",0.081656545,0.02315069,10.718203
-0.88397867051334,21.902657,2.3973877,1027.1919,-0.013202776,"69",0.081656545,0.015275542,10.718203
-0.874194738699096,23.755241,2.4363329,1027.2009,-0.012418928,"69",0.081656545,0.016689889,10.718203
-0.856637389649148,25.641899,2.4926066,1027.2103,-0.011284566,"69",0.081656545,0.015799245,10.718203
-0.830658460439186,27.529383,2.5518827,1027.2197,-0.011853749,"69",0.081656545,0.017051121,10.718203
-0.799829767383414,29.409285,2.6077409,1027.2291,-0.011870973,"69",0.081656545,0.017511033,10.718203
-0.769111134790273,31.267317,2.6822262,1027.2385,-0.008902508,"69",0.081656545,0.016013157,10.718203
-0.742205557920549,33.137154,2.7284417,1027.248,-0.014690672,"69",0.081656545,0.019965999,10.718203
-0.720475021909328,34.956596,2.7418771,1027.2572,-0.012863483,"69",0.081656545,0.016845606,10.718203
-0.703332328183069,36.744308,2.7471526,1027.2662,-0.011849255,"69",0.081656545,0.021160102,10.718203
-0.689168492610945,38.504089,2.748837,1027.2751,-0.005816945,"69",0.081656545,0.014704604,10.718203
-0.676097704389467,40.231728,2.7787993,1027.2838,-0.014570423,"69",0.081656545,0.021252858,10.718203
-0.662466717837976,41.984299,2.8043404,1027.2926,-0.011091927,"69",0.081656545,0.020864001,10.718203
-0.647336633085362,43.675907,2.8108623,1027.3011,-0.009491963,"69",0.081656545,0.017507298,10.718203
-0.63084274805524,45.371944,2.8295615,1027.3097,-0.01087443,"69",0.081656545,0.019026974,10.718203
-0.614098041758314,47.005161,2.8123028,1027.3179,-0.011326193,"69",0.081656545,0.019023022,10.718203
-0.59858653275097,48.603195,2.8320618,1027.3257,-0.011925837,"69",0.081656545,0.014951904,10.718203
