"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.10548489850876,11.593443,2.0129099,1027.1261,-0.015968962,"73",0.081656545,0.035781156,11.593443
-1.04626132167924,13.400407,2.0701182,1027.1412,-0.015746547,"73",0.081656545,0.0296061,11.593443
-1.00218767399594,15.171512,2.1002669,1027.1561,-0.011083487,"73",0.081656545,0.017130073,11.593443
-0.96323106988009,16.933798,2.1801069,1027.1661,-0.012930853,"73",0.081656545,0.025478557,11.593443
-0.91978725916395,18.756659,2.2869222,1027.1759,-0.011343196,"73",0.081656545,0.017990621,11.593443
-0.86740708342492,20.579744,2.3829267,1027.1853,-0.010158479,"73",0.081656545,0.012439652,11.593443
-0.808137569529492,22.393364,2.4652143,1027.1942,-0.00528974,"73",0.081656545,0.024996137,11.593443
-0.748367704644102,24.138819,2.5134401,1027.2029,-0.009554929,"73",0.081656545,0.014321899,11.593443
-0.694886243600356,25.794258,2.5369687,1027.2111,-0.013630179,"73",0.081656545,0.015877884,11.593443
-0.651786245293567,27.375437,2.5509636,1027.219,-0.00963522,"73",0.081656545,0.019718107,11.593443
-0.619633562920525,28.864922,2.5816963,1027.2264,-0.013669696,"73",0.081656545,0.017141959,11.593443
-0.596498822259612,30.364931,2.6602993,1027.234,-0.007946195,"73",0.081656545,0.014862596,11.593443
-0.579656185538356,31.85659,2.656225,1027.2416,-0.009599894,"73",0.081656545,0.016619012,11.593443
-0.566903902452075,33.270382,2.5829773,1027.2487,-0.009446014,"73",0.081656545,0.019063348,11.593443
-0.556981566028147,34.612297,2.4929724,1027.2555,-0.010390868,"73",0.081656545,0.017611306,11.593443
-0.549153362907224,35.895412,2.4008636,1027.262,-0.009879624,"73",0.081656545,0.017794177,11.593443
-0.54249613608805,37.101421,2.3405821,1027.2681,-0.017630098,"73",0.081656545,0.021120697,11.593443
