"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.38494136347131,15.778556,2.1151679,1027.1598,-0.012966064,"17",0.081656545,0.015067235,15.778556
-1.32910021727887,17.798635,2.0719948,1027.1708,-0.012774022,"17",0.081656545,0.017161619,15.778556
-1.27306876038479,19.781017,2.0550931,1027.1813,-0.010792679,"17",0.081656545,0.013925319,15.778556
-1.2110617150109,21.723907,2.0751097,1027.191,-0.013018843,"17",0.081656545,0.014446787,15.778556
-1.13852932195652,23.6572,2.1337433,1027.2006,-0.012451335,"17",0.081656545,0.020984678,15.778556
-1.05713999381351,25.599869,2.2032337,1027.2101,-0.00982815,"17",0.081656545,0.027414886,15.778556
-0.975283737735709,27.483646,2.3099544,1027.2195,-0.011212756,"17",0.081656545,0.017282557,15.778556
-0.904142197562243,29.42531,2.4602897,1027.2292,-0.011821183,"17",0.081656545,0.017609937,15.778556
-0.852585328537963,31.356319,2.5352237,1027.239,-0.016248666,"17",0.081656545,0.019839643,15.778556
-0.823969049748604,33.234787,2.5697687,1027.2485,-0.011952178,"17",0.081656545,0.018300103,15.778556
-0.815772913768069,35.124634,2.5823011,1027.2581,-0.014160222,"17",0.081656545,0.023848321,15.778556
-0.821329204348378,36.994873,2.5555906,1027.2675,-0.007595487,"17",0.081656545,0.022794627,15.778556
-0.832545231173762,38.860229,2.535475,1027.277,-0.011245821,"17",0.081656545,0.01637776,15.778556
-0.842518234505875,40.748623,2.5319915,1027.2864,-0.011959552,"17",0.081656545,0.018485563,15.778556
-0.846999280093908,42.646267,2.5299962,1027.296,-0.014046121,"17",0.081656545,0.022102954,15.778556
-0.844418880608004,44.536617,2.520889,1027.3054,-0.011164484,"17",0.081656545,0.017356785,15.778556
-0.835200470377991,46.412331,2.5678313,1027.3148,-0.011655066,"17",0.081656545,0.016784305,15.778556
-0.82117387004495,48.352085,2.6175787,1027.3245,-0.009647001,"17",0.081656545,0.021676738,15.778556
