"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.24203055800561,18.601864,2.1953435,1027.175,-0.015482255,"19",0.081656545,0.047411997,18.601864
-1.15471243366003,20.68502,2.2640588,1027.1859,-0.008568436,"19",0.081656545,0.018158982,18.601864
-1.06956790745831,22.741512,2.3420012,1027.196,-0.010868,"19",0.081656545,0.020621169,18.601864
-0.994574355812519,24.787092,2.4297683,1027.2061,-0.013660446,"19",0.081656545,0.021128034,18.601864
-0.934599170393925,26.811188,2.5051796,1027.2162,-0.013745282,"19",0.081656545,0.024323083,18.601864
-0.890059729239846,28.814356,2.5628116,1027.2262,-0.010190583,"19",0.081656545,0.020074198,18.601864
-0.857864774992321,30.790833,2.6012397,1027.2361,-0.011406076,"19",0.081656545,0.016844915,18.601864
-0.833478545991266,32.74242,2.6115057,1027.246,-0.0122996,"19",0.081656545,0.017876957,18.601864
-0.812936177774925,34.649719,2.6229906,1027.2556,-0.008393175,"19",0.081656545,0.022665489,18.601864
-0.794018955438287,36.544106,2.6650326,1027.2653,-0.012723715,"19",0.081656545,0.015209701,18.601864
-0.776344808954796,38.451588,2.7246306,1027.2749,-0.009015037,"19",0.081656545,0.021258095,18.601864
-0.760672782016145,40.366577,2.78564,1027.2845,-0.011883025,"19",0.081656545,0.027242091,18.601864
-0.747920690916081,42.290173,2.8231115,1027.2942,-0.011320451,"19",0.081656545,0.018121328,18.601864
-0.73831893656916,44.210346,2.8442624,1027.3038,-0.011930945,"19",0.081656545,0.017029598,18.601864
-0.731027003314205,46.112827,2.902735,1027.3134,-0.011119698,"19",0.081656545,0.017835008,18.601864
-0.724335271335719,48.092457,2.9584653,1027.3232,-0.011123917,"19",0.081656545,0.019845856,18.601864
-0.812128910636,33.881519,2.2861764,1027.2517,-0.008186496,"19",0.081656545,0.019777406,18.601864
-0.789721274141468,35.591259,2.4112463,1027.2604,-0.011291675,"19",0.081656545,0.024996219,18.601864
