"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.22464025441837,27.107943,2.2992578,1027.2177,-0.012997893,"5",0.081656545,0.019089147,27.107943
-1.20202309114714,29.206644,2.2096131,1027.2281,-0.012989774,"5",0.081656545,0.021011528,27.107943
-1.18131940214803,31.200764,2.1391525,1027.2382,-0.012692679,"5",0.081656545,0.018581672,27.107943
-1.16156220520229,33.151669,2.1089172,1027.248,-0.012446629,"5",0.081656545,0.013949912,27.107943
-1.14232061342417,35.060432,2.0734005,1027.2577,-0.012303093,"5",0.081656545,0.013927054,27.107943
-1.12361722882748,36.912571,2.0365708,1027.2671,-0.012653526,"5",0.081656545,0.014952349,27.107943
-1.10582665142959,38.720947,2.0455549,1027.2762,-0.01233024,"5",0.081656545,0.014042757,27.107943
-1.08958828260196,40.567585,2.0743461,1027.2855,-0.01203506,"5",0.081656545,0.013508014,27.107943
-1.07558911884476,42.401463,2.0946345,1027.2947,-0.012626742,"5",0.081656545,0.013579779,27.107943
-1.0641499691278,44.252621,2.1278255,1027.304,-0.012145097,"5",0.081656545,0.014822274,27.107943
-1.05478109406298,46.125782,2.1554551,1027.3134,-0.012314653,"5",0.081656545,0.013166771,27.107943
-1.04602968158092,48.011444,2.1553502,1027.3228,-0.01135183,"5",0.081656545,0.013930243,27.107943
-1.03585861828529,49.847809,2.1566207,1027.332,-0.012612674,"5",0.081656545,0.015394726,27.107943
