"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-0.939767701174319,10.667632,2.4451661,1027.1133,-0.012822168,"57",0.081656545,0.019043978,10.667632
-0.881878568184293,12.58874,2.5039105,1027.134,-0.016137056,"57",0.081656545,0.024092574,10.667632
-0.849414361993063,14.512897,2.6042964,1027.151,-0.008411931,"57",0.081656545,0.013068771,10.667632
-0.836822265225529,16.508022,2.7173727,1027.1639,-0.012305597,"57",0.081656545,0.020348096,10.667632
-0.836075979890669,18.572161,2.7274792,1027.1749,-0.013185821,"57",0.081656545,0.016342819,10.667632
-0.838738357491538,20.552149,2.6495407,1027.1852,-0.008747314,"57",0.081656545,0.015288185,10.667632
-0.837836877479591,22.506151,2.5939639,1027.1948,-0.014862846,"57",0.081656545,0.01776924,10.667632
-0.829116287512124,24.392355,2.5531063,1027.2041,-0.011114511,"57",0.081656545,0.015794244,10.667632
-0.811396011976503,26.263817,2.5915773,1027.2134,-0.012149485,"57",0.081656545,0.018450165,10.667632
-0.786026202675486,28.148235,2.6897979,1027.2229,-0.011360237,"57",0.081656545,0.04148718,10.667632
-0.755766504409157,30.076973,2.7916682,1027.2325,-0.019804833,"57",0.081656545,0.042419024,10.667632
-0.723605636441923,31.979683,2.8810883,1027.2422,-0.006302402,"57",0.081656545,0.018536134,10.667632
-0.691898833332887,33.892979,2.9354093,1027.2518,-0.011333619,"57",0.081656545,0.016410835,10.667632
-0.661873358252176,35.723915,2.9314983,1027.2611,-0.007997118,"57",0.081656545,0.020342551,10.667632
-0.63343731961467,37.473148,2.9228938,1027.2699,-0.025360489,"57",0.081656545,0.038895015,10.667632
-0.605396894758714,39.172256,2.9514284,1027.2784,-0.006008223,"57",0.081656545,0.016031673,10.667632
