"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.10435863754245,10.705318,2.0092204,1027.1161,-0.01569956,"71",0.081656545,0.018700412,10.705318
-1.0409302658389,12.391978,1.9489479,1027.132,-0.013946861,"71",0.081656545,0.017525597,10.705318
-0.984484363060645,14.04081,2.0194857,1027.1471,-0.01232684,"71",0.081656545,0.016821675,10.705318
-0.935581738402921,15.75331,2.1631479,1027.1598,-0.011403511,"71",0.081656545,0.013503703,10.705318
-0.895040968738208,17.539492,2.313271,1027.1693,-0.009459326,"71",0.081656545,0.020028891,10.705318
-0.86266598377834,19.374392,2.4290311,1027.1791,-0.013250925,"71",0.081656545,0.016207045,10.705318
-0.837378414391677,21.240017,2.492713,1027.1886,-0.012062363,"71",0.081656545,0.020460423,10.705318
-0.817360151096418,23.085234,2.4894185,1027.1976,-0.012859363,"71",0.081656545,0.015348553,10.705318
-0.799818719449249,24.852598,2.5177536,1027.2064,-0.011297012,"71",0.081656545,0.011541848,10.705318
-0.780936840029963,26.700459,2.5889955,1027.2156,-0.007138033,"71",0.081656545,0.032477528,10.705318
-0.756501671996682,28.502869,2.6236067,1027.2246,-0.014072906,"71",0.081656545,0.018753828,10.705318
-0.723090188353931,30.29236,2.7118077,1027.2336,-0.011283686,"71",0.081656545,0.016958971,10.705318
-0.679274587600532,32.094887,2.839103,1027.2427,-0.010947162,"71",0.081656545,0.015967444,10.705318
