"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.04914153382405,10.761352,2.0728288,1027.1165,-0.012340743,"78",0.081656545,0.016609924,10.761352
-0.976094949318744,12.597027,2.2179348,1027.1339,-0.011114411,"78",0.081656545,0.017058471,10.761352
-0.921249146945421,14.445914,2.3385916,1027.1505,-0.010859956,"78",0.081656545,0.018263375,10.761352
-0.878193619627973,16.322474,2.4437804,1027.163,-0.009848064,"78",0.081656545,0.022733264,10.761352
-0.839543896754504,18.216955,2.4946132,1027.173,-0.013107704,"78",0.081656545,0.016476018,10.761352
-0.799287545944697,20.033493,2.4961555,1027.1825,-0.010998718,"78",0.081656545,0.01871587,10.761352
-0.753950751121844,21.779577,2.5074382,1027.1913,-0.017261637,"78",0.081656545,0.026284393,10.761352
-0.703282656112558,23.451694,2.5527911,1027.1995,-0.009538618,"78",0.081656545,0.020217508,10.761352
-0.650237143409374,25.064285,2.6469607,1027.2074,-0.010683882,"78",0.081656545,0.023082959,10.761352
