"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.35226811919557,15.842736,1.8333049,1027.1603,-0.010611437,"9",0.081656545,0.017561318,15.842736
-1.38915050421518,17.610096,1.7659318,1027.1698,-0.010210171,"9",0.081656545,0.020712897,15.842736
-1.42243415994351,19.304535,1.6934376,1027.1788,-0.011261175,"9",0.081656545,0.019603858,15.842736
-1.43032229767095,20.944593,1.6397929,1027.1871,-0.012660013,"9",0.081656545,0.016415257,15.842736
-1.40605810209119,22.540518,1.630409,1027.1949,-0.009776589,"9",0.081656545,0.021773623,15.842736
-1.36631376107075,24.158644,1.6498947,1027.203,-0.008176018,"9",0.081656545,0.030599341,15.842736
-1.32722241753665,25.770079,1.6803386,1027.2109,-0.014780625,"9",0.081656545,0.021389302,15.842736
-1.29578593102216,27.423742,1.7119505,1027.2192,-0.009830704,"9",0.081656545,0.019577673,15.842736
-1.27304813059303,29.0667,1.7560366,1027.2274,-0.015741555,"9",0.081656545,0.038976915,15.842736
-1.25650003563634,30.789549,1.8119342,1027.2361,-0.010671916,"9",0.081656545,0.031065766,15.842736
-1.2430912993118,32.522114,1.8352022,1027.2449,-0.010065693,"9",0.081656545,0.015937608,15.842736
-1.2320132058572,34.268051,1.8650401,1027.2537,-0.01033025,"9",0.081656545,0.014236764,15.842736
-1.22413531321248,36.043423,1.8934522,1027.2627,-0.012457319,"9",0.081656545,0.016580209,15.842736
-1.21935094685374,37.839706,1.9001585,1027.2717,-0.012333442,"9",0.081656545,0.0139195,15.842736
-1.21558162908138,39.602734,1.8971943,1027.2806,-0.012614906,"9",0.081656545,0.014144626,15.842736
-1.20988513620226,41.402023,1.9299268,1027.2897,-0.011764982,"9",0.081656545,0.013398842,15.842736
-1.19976391951006,43.219551,1.9567888,1027.2988,-0.012221754,"9",0.081656545,0.017180214,15.842736
-1.18357403592905,45.048859,1.9775691,1027.308,-0.013077194,"9",0.081656545,0.016636698,15.842736
-1.16024275374107,46.883724,2.0212913,1027.3171,-0.012079774,"9",0.081656545,0.016840024,15.842736
-1.12902130924373,48.764324,2.0833137,1027.3265,-0.011781754,"9",0.081656545,0.01281279,15.842736
