"pitch","d","mvelocity","dsw","surge","dive_no","stroke_def","ODBA","initial_d"
-1.20705313005138,11.045197,2.0509713,1027.1208,-0.009376987,"67",0.081656545,0.02306959,11.045197
-1.14159822164677,12.988846,2.1387088,1027.1375,-0.013005943,"67",0.081656545,0.014308123,11.045197
-1.08762459520725,14.942204,2.1758041,1027.1544,-0.011529977,"67",0.081656545,0.01259402,11.045197
-1.04398984547094,16.838144,2.1662953,1027.1656,-0.011453757,"67",0.081656545,0.021351526,11.045197
-1.00841993059554,18.667938,2.2004926,1027.1754,-0.01418814,"67",0.081656545,0.017970983,11.045197
-0.977889723748447,20.568367,2.2596393,1027.1853,-0.012537264,"67",0.081656545,0.015058525,11.045197
-0.949381306306861,22.411255,2.3010333,1027.1943,-0.01223332,"67",0.081656545,0.014949315,11.045197
-0.92102715851786,24.304979,2.3952317,1027.2037,-0.012197235,"67",0.081656545,0.016997017,11.045197
-0.892894004318745,26.243258,2.4652236,1027.2134,-0.011193572,"67",0.081656545,0.012661816,11.045197
-0.866666313330496,28.147036,2.4817612,1027.2229,-0.010890279,"67",0.081656545,0.01955813,11.045197
-0.844318611442477,30.017996,2.4951782,1027.2323,-0.011366161,"67",0.081656545,0.018981883,11.045197
-0.826714505021869,31.868803,2.520406,1027.2416,-0.019042814,"67",0.081656545,0.02559877,11.045197
-0.813123870482685,33.726967,2.5557683,1027.251,-0.011460762,"67",0.081656545,0.018958287,11.045197
-0.801839985255983,35.583134,2.569325,1027.2604,-0.010966906,"67",0.081656545,0.015340117,11.045197
-0.791160437736078,37.415524,2.5985868,1027.2697,-0.011909449,"67",0.081656545,0.018426845,11.045197
-0.779871508507838,39.280582,2.6464572,1027.2791,-0.014740957,"67",0.081656545,0.019461099,11.045197
-0.767118562196441,41.142185,2.6366851,1027.2885,-0.005578866,"67",0.081656545,0.021219358,11.045197
-0.752226156381364,42.935383,2.6298783,1027.2974,-0.012010423,"67",0.081656545,0.01710318,11.045197
-0.734873342466458,44.723793,2.6852705,1027.3064,-0.011281106,"67",0.081656545,0.016910309,11.045197
-0.71537267401417,46.535011,2.7574971,1027.3154,-0.010728193,"67",0.081656545,0.018713532,11.045197
-0.694569989939894,48.351349,2.8519073,1027.3245,-0.008802556,"67",0.081656545,0.016834628,11.045197
