"","Total_strokeNo","Total_strokeRate","Descent_strokeNo","Descent_strokeRate","Ascent_strokeNo","Ascent_strokeRate","Total_strokeIntensity","Total_strokeIntensityPerStroke","Descent_strokeIntensity","Descent_strokeIntensityPerStroke","Ascent_strokeIntensity","Ascent_strokeIntensityPerStroke","Total_pitch","Descent_pitch","Ascent_pitch","Total_speed","Descent_speed","Ascent_speed","Total_glide","Descent_glide","Ascent_glide","Total_ODBA","Descent_ODBA","Ascent_ODBA","Bottom_ODBA","DiveNo","Duration","MaxD","Vair","VairRaw","minMSE_w","initial_depth","glide_duration","avg_pitch","avg_speed","r_sq","p","...38","initial_v","min_v","d_min_v","LMintercept_d","LMgradient_d","LMintercept_d_E","LMgradient_d_E","LMintercept_calc","LMgradient_calc","LMintercept_calc_E","LMgradient_calc_E","LMgradient_d_rsq","LMgradient_calc_rsq","total_stroke","Day","Individual","body_density"
"1259",821,1.031407035,63,0.293023256,192,1.56097561,50.82763947,0.061909427,2.696177952,0.042796475,18.51582734,0.096436601,2.217840799,-58.23797423,56.38063651,1.667388422,1.828626605,1.628012198,233.52,158.24,2,84.4160989,22.39805052,9.970347049,52.04770133,38,797,331.1633301,9.243697479,0.0022,0.052882101,17.765509,24,-66.81654196,1.501684842,0.952132565,5.2e-16,38,1.225064,1.2070326,17.765509,0.199371665,-0.013555766,0.042914151,0.005378252,-0.15189867,0.433316492,0.110953748,0.194997149,0.760559604,0.711733823,0.194550331,10,6,1035.689
"1260",879,1.066747573,42,0.229508197,267,1.579881657,55.3570978,0.062977358,2.287428053,0.054462573,24.75176279,0.092703231,1.353202487,-61.71303382,61.3251744,1.767407075,1.914260089,1.633693626,225.72,144.08,2.32,100.1663052,17.5188741,22.12428281,60.52314829,39,825,327.1265259,17.22689076,0.0041,0.138877628,11.27959,29,-70.16603252,1.43153569,0.865123784,2.92e-13,39,1.4951797,1.1742318,11.27959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1261",937,1.153940887,16,0.125,425,1.574074074,61.89364932,0.066055122,0.912073033,0.057004565,36.41690151,0.085686827,6.295337921,-67.42094338,70.56808147,1.764437313,2.003198621,1.549553722,198.44,112.56,3.8,100.0054576,12.56988452,42.12925965,45.30631343,40,813,396.9333496,14.70588235,0.0035,0.112713116,12.028975,27,-64.09335107,1.578064463,0.855416393,5.39e-12,40,1.6123769,1.3251711,12.028975,0.256611044,-0.021463815,0.009996768,0.001277809,-0.29253253,0.670864516,0.047824507,0.082442394,0.992961496,0.970681726,0.207438931,10,6,1035.689
"1262",899,1.047785548,49,0.25388601,416,1.563909774,61.32267805,0.0682121,2.158325672,0.044047463,36.25976139,0.087162888,6.326026716,-51.03480578,70.10471858,1.684896126,1.780048217,1.516155285,242,146.2,3.12,104.1668164,21.11484787,28.53092667,54.52104186,41,859,381.8727417,15.96638655,0.0038,0.101748176,11.838037,29,-70.01757628,1.450683655,0.891000123,1.62e-14,41,1.4563358,1.2125522,11.838037,0.23467521,-0.018640703,0.060539924,0.007343052,-0.23886309,0.578824403,0.149865125,0.267344879,0.763152004,0.700938752,0.183058825,10,6,1035.689
"1263",914,1.002192982,48,0.282352941,303,1.586387435,54.0245511,0.059107824,1.714131314,0.035711069,26.10957053,0.0861702,1.834772459,-56.15767246,63.59105856,1.69382308,1.849913195,1.593417313,280.6,128.24,1.44,17.29141761,5.750838644,2.837463586,8.70311538,42,913,273.4590759,18.90756303,0.0045,0.15227587,10.166189,30,-68.62808023,1.454649343,0.281918816,0.00253756,42,1.642644,1.191783,10.166189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1264",712,0.909323116,25,0.152439024,321,1.535885167,43.86943634,0.061614377,0.862759769,0.034510391,23.8521446,0.074305746,2.15221983,-58.05897988,48.89217451,1.65459884,1.904060498,1.544699481,280.2,139.84,0.32,12.3179583,2.479087047,3.449846976,6.389024277,43,784,267.8477173,10.92436975,0.0026,0.053703459,11.650464,29,-66.75396714,1.471029893,0.91868577,3.07e-16,43,1.2416422,1.2416422,11.650464,0.021559335,0.004492677,0.071571826,0.008556974,0.146726459,-0.158749144,0.147216124,0.261989327,0.121133139,0.155105764,0.126769891,10,6,1035.689
"1265",848,1.001180638,39,0.254901961,243,1.537974684,52.5484166,0.061967472,1.203615056,0.030861925,21.36274187,0.087912518,1.020426878,-61.56905705,52.68913177,1.723087341,1.947576197,1.61272732,251.04,115.72,1.84,14.08863886,2.375593816,2.717421385,8.995623659,44,848,346.5880127,15.54621849,0.0037,0.099643804,11.177057,29,-63.42402534,1.550787569,0.838924235,3.25e-12,44,1.5843419,1.2988126,11.177057,0.437436553,-0.041464757,0.075228552,0.008926768,-0.660705615,1.374410211,0.197256092,0.359854676,0.955705054,0.935845696,0.178904532,10,6,1035.689
"1266",475,0.806451613,44,0.223350254,285,1.5,32.27534442,0.067948094,1.863083486,0.042342806,23.30775537,0.081781598,2.440083128,-37.6292191,48.19231875,1.62584028,1.846743689,1.481414444,249.56,157.6,2.32,10.31239626,3.465164783,3.293827722,3.553403755,45,590,226.0831146,0,0,0.065680935,10.593911,25,-56.68242744,1.95070546,0.926633129,1.53e-14,45,1.6202595,1.6015384,10.593911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
"1267",834,0.969767442,20,0.15503876,231,1.55033557,51.86964648,0.062193821,0.652446833,0.032622342,21.73998198,0.094112476,1.290972932,-61.19860249,56.10449462,1.612146622,1.836988008,1.591335032,241.64,107.16,1.16,14.54637753,2.181047883,2.510739299,9.854590348,46,861,353.2077942,17.22689076,0.0041,0.083796234,11.15021,29,-66.47884679,1.488773928,0.794879914,8.72e-11,46,1.5791451,1.2859594,11.15021,0.178425471,-0.007787426,0.007220235,0.00091409,-0.013354674,0.231006062,0.023682799,0.041309303,0.986409148,0.969013066,0.206428689,10,6,1035.689
"1268",730,0.837155963,16,0.115107914,262,1.514450867,44.19932526,0.060547021,0.376088278,0.023505517,22.82289982,0.087110305,0.628762733,-53.70773778,50.21843474,1.684583437,1.919656199,1.531871422,320.76,119.04,1.32,14.73980002,2.319095954,3.054684598,9.366019468,47,873,221.0180054,9.663865546,0.0023,0.035630461,15.831567,25,-61.93883112,1.577599632,0.931949012,6.43e-15,47,1.3776424,1.3776424,15.831567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,1035.689
